Date,Open,High,Low,Close,Volume,Adj_Close
2001-08-24,13.5,14.38,13.07,13.15,545509,0.77
2001-08-27,12.88,13.05,12.41,12.58,98009,0.65
2001-08-28,12.88,13.38,12.65,13.33,51196,0.81
2001-08-29,13.35,13.5,13.1,13.23,59885,0.79
2001-08-30,13.15,13.5,13.08,13.28,34663,0.8
2001-08-31,13.31,13.41,13.0,13.04,16740,0.75
2001-09-03,12.89,13.1,12.52,12.69,20050,0.67
2001-09-04,12.65,13.22,12.61,13.15,23499,0.77
2001-09-05,13.18,13.55,13.1,13.29,35557,0.81
2001-09-06,13.29,13.36,13.06,13.22,11615,0.79
2001-09-07,13.15,13.22,12.72,12.77,18502,0.69
2001-09-10,12.51,13.79,12.5,13.79,55030,0.92
2001-09-11,13.79,13.85,13.5,13.67,37246,0.89
2001-09-12,13.3,13.89,13.07,13.79,48040,0.92
2001-09-13,13.79,13.98,13.68,13.75,26991,0.91
2001-09-14,13.71,13.85,13.41,13.44,18883,0.84
2001-09-17,13.4,13.56,13.13,13.2,13168,0.79
2001-09-18,13.25,13.6,13.19,13.48,8317,0.85
2001-09-19,13.28,13.68,13.25,13.63,7453,0.88
2001-09-20,13.68,13.78,13.46,13.5,9527,0.85
2001-09-21,13.45,13.59,13.25,13.45,6522,0.84
2001-09-24,13.27,13.52,13.19,13.26,6695,0.8
2001-09-25,13.3,13.5,13.27,13.34,4086,0.82
2001-09-26,13.3,13.34,13.05,13.1,10619,0.76
2001-09-27,13.1,13.5,12.98,13.16,9484,0.78
2001-10-08,13.1,13.29,12.82,12.89,8095,0.72
2001-10-09,12.98,13.43,12.81,13.32,9031,0.81
2001-10-10,13.28,13.3,12.7,13.0,15585,0.74
2001-10-11,12.74,13.15,12.5,12.85,25888,0.71
2001-10-12,12.7,13.4,12.18,13.12,31760,0.77
2001-10-15,13.11,13.26,12.9,13.06,10243,0.76
2001-10-16,13.1,13.1,12.4,12.51,18080,0.63
2001-10-17,12.4,12.57,12.15,12.29,8751,0.59
2001-10-18,12.1,12.35,11.64,11.84,20128,0.49
2001-10-19,11.75,12.0,11.49,11.64,12052,0.44
2001-10-22,11.5,11.75,11.2,11.25,9840,0.36
2001-10-23,12.38,12.38,12.38,12.38,10907,0.61
2001-10-24,13.2,13.46,12.76,13.2,76968,0.79
2001-10-25,12.98,13.27,12.6,12.67,20435,0.69
2001-10-26,12.68,13.25,12.67,13.22,24181,0.81
