
---------------- LSTM模型 ----------------
使用的滞后值：20

训练的Epoch数：100

LSTM模型的学习率：0.001

LSTM模型的批次大小：32

LSTM模型的节点数：64

神经网络的滞后值：10


---------------------- LSTM模型训练数据（前100个数据点）的完整预测 -------------------------
0 => 实际数据点：99.98 | 预测数据点：134.77545166015625
1 => 实际数据点：104.39 | 预测数据点：136.5408935546875
2 => 实际数据点：109.13 | 预测数据点：138.4189910888672
3 => 实际数据点：114.55 | 预测数据点：138.76016235351562
4 => 实际数据点：120.25 | 预测数据点：139.4705810546875
5 => 实际数据点：125.27 | 预测数据点：140.4996337890625
6 => 实际数据点：125.28 | 预测数据点：141.53408813476562
7 => 实际数据点：126.45 | 预测数据点：142.569580078125
8 => 实际数据点：127.61 | 预测数据点：142.20413208007812
9 => 实际数据点：128.84 | 预测数据点：142.0733184814453
10 => 实际数据点：130.14 | 预测数据点：140.65838623046875
11 => 实际数据点：131.44 | 预测数据点：140.8126678466797
12 => 实际数据点：132.06 | 预测数据点：140.88018798828125
13 => 实际数据点：132.68 | 预测数据点：140.89727783203125
14 => 实际数据点：133.34 | 预测数据点：139.57650756835938
15 => 实际数据点：133.97 | 预测数据点：138.38494873046875
16 => 实际数据点：134.6 | 预测数据点：137.35720825195312
17 => 实际数据点：134.67 | 预测数据点：136.38351440429688
18 => 实际数据点：134.74 | 预测数据点：135.3447265625
19 => 实际数据点：134.24 | 预测数据点：134.5184783935547
20 => 实际数据点：134.25 | 预测数据点：133.66751098632812
21 => 实际数据点：134.24 | 预测数据点：132.90011596679688
22 => 实际数据点：134.24 | 预测数据点：132.13656616210938
23 => 实际数据点：133.72 | 预测数据点：131.359130859375
24 => 实际数据点：133.17 | 预测数据点：130.54908752441406
25 => 实际数据点：132.61 | 预测数据点：132.30975341796875
26 => 实际数据点：132.05 | 预测数据点：133.88467407226562
27 => 实际数据点：131.46 | 预测数据点：135.02862548828125
28 => 实际数据点：130.95 | 预测数据点：136.0958251953125
29 => 实际数据点：130.44 | 预测数据点：136.62550354003906
30 => 实际数据点：129.97 | 预测数据点：137.68551635742188
31 => 实际数据点：129.51 | 预测数据点：138.82493591308594
32 => 实际数据点：129.05 | 预测数据点：139.90313720703125
33 => 实际数据点：128.58 | 预测数据点：140.80235290527344
34 => 实际数据点：129.14 | 预测数据点：141.8867645263672
35 => 实际数据点：129.79 | 预测数据点：142.9017333984375
36 => 实际数据点：130.38 | 预测数据点：141.2344207763672
37 => 实际数据点：130.97 | 预测数据点：139.98895263671875
38 => 实际数据点：131.35 | 预测数据点：139.0489044189453
39 => 实际数据点：131.92 | 预测数据点：138.18560791015625
40 => 实际数据点：132.53 | 预测数据点：137.32778930664062
41 => 实际数据点：133.13 | 预测数据点：136.3382568359375
42 => 实际数据点：133.67 | 预测数据点：135.4081573486328
43 => 实际数据点：134.28 | 预测数据点：134.52029418945312
44 => 实际数据点：134.87 | 预测数据点：133.606689453125
45 => 实际数据点：134.4 | 预测数据点：132.7227325439453
46 => 实际数据点：133.93 | 预测数据点：131.68455505371094
47 => 实际数据点：133.47 | 预测数据点：130.76454162597656
48 => 实际数据点：133.01 | 预测数据点：124.7432861328125
49 => 实际数据点：132.53 | 预测数据点：124.69790649414062
50 => 实际数据点：131.99 | 预测数据点：124.44798278808594
